Pumprincess the Princess of Ghosts,Monster
Hydrogeddon,Monster
The Regulation of Tribe,Trap
Fabled Kushano,Monster
Predaplant Chlamydosundew,Monster
Beta The Magnet Warrior,Monster
Dragon Shield,Spell
Volcanic Shell,Monster
Dark Voltanis,Monster
Performapal Ballad,Monster
Qliphort Carrier,Monster
Three-Headed Geedo,Monster
Rainbow Gravity,Trap
Dark Diviner,Monster
Violent Rain,Monster
Double-Edged Sword Technique,Trap
Number 98: Antitopian,Monster
Gladiator Beast Andal,Monster
Embodiment of Apophis,Trap
Spawn Alligator,Monster
Earthquake Giant,Monster
Gladiator Beast Augustus,Monster
St. Joan,Monster
Amaterasu,Monster
Rose Witch,Monster
Fiend's Mirror,Monster
The Dragon's Bead,Trap
Tachyon Chaos Hole,Trap
Humhumming the Key Djinn,Monster
Chainsaw Insect,Monster
Red Gardna,Monster
Earth Chant,Spell
Number 71: Rebarian Shark,Monster
Spell Vanishing,Trap
BOXer,Monster
U.A. Blockbacker,Monster
Gentlemander,Monster
Cynet Refresh,Trap
Zombowwow,Monster
Kangaroo Champ,Monster
Rainbow Kuriboh,Monster
Miracle Fertilizer,Spell
Helios - The Primordial Sun,Monster
Restructer Revolution,Spell
Elemental HERO Shining Flare Wingman,Monster
Heroic Challenger - Extra Sword,Monster
Lightray Grepher,Monster
Morphtronic Smartfon,Monster
Question,Spell
Metal Shooter,Monster
Nutrient Z,Trap
Xing Zhen Hu Replica,Trap
Cyber Ogre 2,Monster
Turtle Bird,Monster
Metalfoes Mithrilium,Monster
Card of Last Will,Trap
Broken Blocker,Trap
Blackwing - Bombardment,Trap
Bujintervention,Spell
Noble Arms - Caliburn,Spell
Protron,Monster
Meklord Emperor Skiel,Monster
Photon Chargeman,Monster
Dimension Distortion,Spell
Shark Cruiser,Monster
Mind Crush,Trap
Igknight Champion,Monster
Phantom of Chaos,Monster
Puzzle Reborn,Trap
Machina Fortress,Monster
Serpentine Princess,Monster
Harpie's Feather Storm,Trap
Superheavy Samurai Soulfire Suit,Monster
Palladium Oracle Mahad,Monster
Inzektor Exa-Beetle,Monster
Aromage Bergamot,Monster
Invader from Another Dimension,Monster
Raidraptor - Sharp Lanius,Monster
Nobleman of Crossout,Spell
Flower Cardian Pine with Crane,Monster
Gladiator Beast Andabata,Monster
Electromagnetic Turtle,Monster
Cyber-Stein,Monster
Angel Trumpeter,Monster
Penguin Knight,Monster
Defensive Tactics,Trap
Rallis the Star Bird,Monster
Embryonic Beast,Monster
Air Eater,Monster
Lunalight Wolf,Monster
Blackwing - Calima the Haze,Monster
Kumootoko,Monster
Ancient Lizard Warrior,Monster
Cardcar D,Monster
Breakthrough Skill,Trap
Evolutionary Bridge,Trap
Roulette Spider,Spell
Invader of the Throne,Monster
^Loki, Lord of the Aesir^,Monster
Bolt Escargot,Monster
Hazy Flame Sphynx,Monster
Junk Anchor,Monster
Chronomaly Pyramid Eye Tablet,Spell
Machine Assembly Line,Spell
Hydro Genex,Monster
Crow Goblin,Monster
Fluffal Cat,Monster
Dragunity Brandistock,Monster
Snowman Creator,Monster
Hydro Pressure Cannon,Spell
Dimensionhole,Spell
Flint Lock,Monster
Finite Cards,Spell
Dark Crusader,Monster
Hysteric Party,Trap
Master Gig,Monster
Raimei,Spell
Secret Skills of the Six Samurai,Spell
King Scarlet,Trap
Super War-Lion,Monster
Gravekeeper's Priestess,Monster
Winged Kuriboh LV9,Monster
Second Coming of the Monarchs,Spell
Mystic Probe,Trap
Descending Lost Star,Trap
^Master Peace, the True Dracoslaying King^,Monster
Giga-Tech Wolf,Monster
Worm Hope,Monster
Symphonic Warrior Miccs,Monster
Elemental HERO Captain Gold,Monster
Black Sonic,Trap
Ghostrick Night,Trap
Evoltile Odonto,Monster
Big Wave Small Wave,Spell
Swarm of Locusts,Monster
Heroic Challenger - Spartan,Monster
Malevolent Catastrophe,Trap
By Order of the Emperor,Trap
Ansatsu,Monster
Blackwing Armed Wing,Monster
Blind Destruction,Trap
Corridor of Agony,Spell
Green Gadget,Monster
Neo the Magic Swordsman,Monster
Return of the Dragon Lords,Spell
Venom Snake,Monster
Uminotaurus,Monster
Evil HERO Malicious Edge,Monster
Feather Wind,Trap
Patrol Robo,Monster
Divine Grace - Northwemko,Monster
Supporter in the Shadows,Monster
Supreme King Dragon Darkwurm,Monster
Mekanikal Arkfiend,Monster
Ganbara Knight,Monster
Thousand Knives,Spell
Des Dendle,Monster
Salvage Warrior,Monster
Armed Protector Dragon,Monster
Laughing Flower,Monster
Bujingi Swallow,Monster
Gravekeeper's Commandant,Monster
Malefic Cyber End Dragon,Monster
Carboneddon,Monster
Shien's Daredevil,Monster
Felgrand Dragon,Monster
Elemental HERO Stratos,Monster
Rain Storm,Trap
Yu-Jo Friendship,Spell
Evilswarm Kerykeion,Monster
Falling Current,Spell
Battle Instinct,Trap
Garum the Storm Vassal,Monster
Plague Wolf,Monster
Vylon Prism,Monster
Number 92: Heart-eartH Dragon,Monster
Punishment Dragon,Monster
D/D Swirl Slime,Monster
Blue-Eyes Ultimate Dragon,Monster
D - Chain,Trap
Gagagarevenge,Spell
Pyro Clock of Destiny,Trap
Performapal Camelump,Monster
Windmill Genex,Monster
Crystal Beast Cobalt Eagle,Monster
Number 81: Superdreadnought Rail Cannon Super Dora,Monster
Falling Down,Spell
Battle for the World Legacy,Spell
Darkworld Shackles,Spell
R-Genex Oracle,Monster
Dark Magician Girl,Monster
Ancient Flamvell Deity,Monster
Armored Bee,Monster
D/D/D Supreme King Kaiser,Monster
Elemental HERO Heat,Monster
Self-Destruct Ant,Monster
Eclipse Wyvern,Monster
Snowdust Giant,Monster
Crystron Thystvern,Monster
Skull Dog Marron,Monster
Gladiator Beast Tygerius,Monster
Sogen,Spell
Shining Friendship,Monster
Darktellarknight Batlamyus,Monster
Black-Winged Strafe,Spell
Windwitch - Winter Bell,Monster
Bujinki Amaterasu,Monster
Millennium Shield,Monster
Masked Clown,Monster
Celtic Guard of Noble Arms,Monster
Iron Core Armor,Spell
D/D/D Wave Oblivion King Caesar Ragnarok,Monster
Last Will,Spell
Winged Egg of New Life,Monster
Damage Translation,Trap
Goblindbergh,Monster
Secret Six Samurai - Genba,Monster
Cross Counter,Trap
Psychic Commander,Monster
Hallowed Life Barrier,Trap
Inaba White Rabbit,Monster
Enraged Muka Muka,Monster
Wightprince,Monster
Inzektor Orb,Trap
Raigeki,Spell
Arcana Force VI - The Lovers,Monster
Master Craftsman Gamil,Monster
Ritual of Grace,Spell
Scrap Kong,Monster
Telekinetic Shocker,Monster
Shapesister,Trap
Familiar-Possessed - Hiita,Monster
Hyena,Monster
Barkion's Bark,Spell
Summon Breaker,Spell
Phantasm Spiral Wave,Spell
Kappa Avenger,Monster
Destroyersaurus,Monster
Chopman the Desperate Outlaw,Monster
Number 16: Shock Master,Monster
Igknight Paladin,Monster
Kageningen,Monster
Umbral Horror Ghost,Monster
Mirror Force Dragon,Monster
Psi-Blocker,Monster
Odd-Eyes Dragon,Monster
The Drdek,Monster
Great Long Nose,Monster
Venom Shot,Spell
Dark Deal,Trap
Ghostrick Mansion,Spell
Dragunity Knight - Gae Dearg,Monster
Spellbook Library of the Heliosphere,Spell
Amulet Dragon,Monster
Key Mouse,Monster
Cybernetic Zone,Spell
Gishki Chain,Monster
Crush Card Virus,Trap
Block Golem,Monster
^Baxia, Brightness of the Yang Zing^,Monster
^Aurkus, Lightsworn Druid^,Monster
Spirit of the Fall Wind,Monster
Destruct Potion,Trap
Smile World,Spell
Link Hole,Spell
^Majester Paladin, the Ascending Dracoslayer^,Monster
Fossil Dyna Pachycephalo,Monster
Synchro Magnet,Monster
Frost Blast of the Monarchs,Spell
Space-Time Police,Monster
Destiny Board,Trap
Reckless Greed,Trap
Black Wing Revenge,Trap
Silent Doom,Spell
Particle Fusion,Spell
Outer Entity Nyarla,Monster
Crystal Bond,Spell
Brave-Eyes Pendulum Dragon,Monster
Fusionist,Monster
Ayers Rock Sunrise,Spell
Photon Lead,Spell
Mecha Bunny,Monster
Byser Shock,Monster
Archlord Kristya,Monster
Unstable Evolution,Spell
Yaranzo,Monster
Armed Dragon Catapult Cannon,Monster
Black Salvo,Monster
Magical Musketeer Kidbrave,Monster
Raptor's Ultimate Mace,Spell
Gladiator Beast Secutor,Monster
Headless Knight,Monster
Heroic Chance,Spell
Beetron,Monster
Froggy Forcefield,Trap
Yosenju Oyam,Monster
Freezing Beast,Monster
Superheavy Samurai Helper,Monster
Cyber Summon Blaster,Trap
B. Skull Dragon,Monster
Cocoon Rebirth,Spell
Ghostrick Stein,Monster
Metalfoes Silverd,Monster
Nature's Reflection,Trap
Avalon,Trap
Winning Formula,Spell
Stardust Charge Warrior,Monster
Power Capsule,Spell
Swift Scarecrow,Monster
Labyrinth Tank,Monster
Gagaga Girl,Monster
Jurrac Meteor,Monster
The Legendary Exodia Incarnate,Monster
Goblin Calligrapher,Monster
Nordic Relic Brisingamen,Trap
Earthbound Immortal Chacu Challhua,Monster
Beast King Barbaros,Monster
Bubble Blaster,Spell
Noble Arms - Gallatin,Spell
Anti-Magic Arrows,Spell
Fire Sorcerer,Monster
Woodland Archer,Monster
The Winged Dragon of Ra - Immortal Phoenix,Monster
Morinphen,Monster
D.D. Sprite,Monster
Miracle Jurassic Egg,Monster
Ghostrick Witch,Monster
Gearspring Spirit,Monster
Celtic Guardian,Monster
Mudragon of the Swamp,Monster
Dig Beak,Monster
Mirror Mail,Trap
Dragoncarnation,Trap
Ancient Gear Knight,Monster
Great Phantom Thief,Monster
Call of Darkness,Trap
The Dragon Dwelling in the Cave,Monster
Galaxy-Eyes Cloudragon,Monster
Edge Imp Chain,Monster
Void Imagination,Spell
Sea Lord's Amulet,Spell
Cameraclops,Monster
Madolche Baaple,Monster
Shogi Knight,Monster
Majespecter Unicorn - Kirin,Monster
Fairy Tail - Sleeper,Monster
Red Wyvern,Monster
Level Tuning,Spell
Laval Cannon,Monster
Morphtronic Cord,Spell
Archfiend Zombie-Skull,Monster
Evo-Instant,Trap
Continuous Destruction Punch,Spell
Bujintei Kagutsuchi,Monster
Cipher Soldier,Monster
Ritual Beast Ulti-Pettlephin,Monster
Nin-Ken Dog,Monster
Gernia,Monster
Frightfur Fusion,Spell
Polymerization,Spell
Mozarta the Melodious Maestra,Monster
Greenkappa,Monster
Subterror Cave Clash,Spell
Vector Scare Archfiend,Monster
Chamberlain of the Six Samurai,Monster
Ultimate Baseball Kid,Monster
Gogogo Goram,Monster
Darklord Divinity,Trap
X-Krawler Synaphysis,Monster
PSY-Framelord Omega,Monster
Gravity Bind,Trap
Anarchist Monk Ranshin,Monster
Dragunity Angusticlavii,Monster
Bahamut Shark,Monster
Cloudian - Turbulence,Monster
Doom Donuts,Monster
PSY-Frame Multi-Threader,Monster
General Raiho of the Ice Barrier,Monster
Fishborg Planter,Monster
Parry,Trap
Il Blud,Monster
Thunder Sea Horse,Monster
Vampire Grace,Monster
Riryoku,Spell
Spell Purification,Trap
Security Orb,Trap
TGX300,Spell
Degenerate Circuit,Spell
Ancient Gear Tank,Spell
Wetlands,Spell
Acorno,Monster
Vampire Koala,Monster
^Gaia Saber, the Lightning Shadow^,Monster
Emergency Assistance,Spell
Spellbook Star Hall,Spell
Forbidden Graveyard,Spell
Halfway to Forever,Trap
Evolsaur Pelta,Monster
Mass Driver,Spell
Deskbot 002,Monster
Convert Contact,Spell
Soul of Purity and Light,Monster
Shinobird Power Spot,Spell
Graceful Tear,Trap
Gladiator Beast's Battle Gladius,Spell
Yang Zing Path,Spell
Roaring Earth,Trap
Exarion Universe,Monster
Level Warrior,Monster
Black Whirlwind,Spell
Fiend Griefing,Trap
Double Cipher,Trap
Utopia Buster,Spell
BM-4 Blast Spider,Monster
Tin Archduke,Monster
Hunter Spider,Monster
Tellarknight Ptolemaeus,Monster
Granmarg the Rock Monarch,Monster
Maestroke the Symphony Djinn,Monster
Sangan,Monster
Miscellaneousaurus,Monster
Hinotama Soul,Monster
Aratama,Monster
Contact Out,Spell
Poisonous Winds,Spell
^Star Light, Star Bright^,Spell
Cyber End Dragon,Monster
Sonic Duck,Monster
Dinomist Stegosaur,Monster
Future Visions,Spell
Thunder Dragon,Monster
Elemental HERO Absolute Zero,Monster
Personal Spoofing,Trap
Performapal Inflater Tapir,Monster
Jawsman,Monster
Raidraptor - Call,Spell
Guard Penalty,Spell
Destiny HERO - Plasma,Monster
Geargiano,Monster
Machine Duplication,Spell
Fire King Avatar Arvata,Monster
Yubel - Terror Incarnate,Monster
Dawn Knight,Monster
Core Reinforcement,Trap
Gem-Knight Citrine,Monster
Shield Worm,Monster
Job-Change Mirror,Monster
Snowman Eater,Monster
Mystic Macrocarpa Seed,Monster
Silent Paladin,Monster
Rhinotaurus,Monster
Hazy Flame Griffin,Monster
Alien Telepath,Monster
Chthonian Polymer,Trap
Mormolith,Monster
Bound Wand,Spell
Acid Crawler,Monster
Rod of the Mind's Eye,Spell
Shien's Dojo,Spell
The Fabled Ganashia,Monster
Rapid-Fire Magician,Monster
Absorbing Kid from the Sky,Monster
Number 78: Number Archive,Monster
Tuner's Barrier,Trap
Odd-Eyes Pendulum Dragon,Monster
Metamorphosis,Spell
Familiar-Possessed - Wynn,Monster
Dark Armed Dragon,Monster
Assault Blackwing - Sayo the Rain Hider,Monster
Selective Reborn,Spell
El Shaddoll Construct,Monster
Aurora Paragon,Monster
Berlineth the Firestorm Vassal,Monster
Landoise's Luminous Moss,Spell
Elemental HERO Steam Healer,Monster
^Brron, Mad King of Dark World^,Monster
Mystical Capture Chain,Monster
D.D. Dynamite,Trap
Number 58: Burner Visor,Monster
Chain Resonator,Monster
Absolute Crusader,Monster
Brotherhood of the Fire Fist - Coyote,Monster
Metamorformation,Spell
^Gameciel, the Sea Turtle Kaiju^,Monster
Tanngrisnir of the Nordic Beasts,Monster
Koa'ki Meiru Bergzak,Monster
Scrap Recycler,Monster
Junk Barrage,Spell
Megaroid City,Spell
^True King Agnimazud, the Vanisher^,Monster
Obnoxious Celtic Guard,Monster
Sixth Sense,Trap
Shuttleroid,Monster
The Fabled Cerburrel,Monster
Star Seraph Sovereignty,Monster
Blackwing - Boobytrap,Trap
^Kamion, the Timelord^,Monster
Stack Reviver,Monster
Musakani Magatama,Trap
Firebird,Monster
Spirit's Invitation,Trap
Stone Dragon,Monster
Rank-Up-Magic Argent Chaos Force,Spell
Mechanical Snail,Monster
Cryomancer of the Ice Barrier,Monster
Helping Robo for Combat,Monster
Flash Knight,Monster
Arcane Apprentice,Monster
Fairy Tail - Luna,Monster
Speedroid Den-Den Daiko Duke,Monster
Fortissimo the Mobile Fortress,Spell
Brotherhood of the Fire Fist - Swallow,Monster
Peacock,Monster
Oni Tank T-34,Monster
Metal Fish,Monster
Sacred Serpent's Wake,Spell
^Shire, Lightsworn Spirit^,Monster
Element Doom,Monster
Bad Luck Blast,Trap
Wattbetta,Monster
Chemicritter Oxy Ox,Monster
Blackwing - Gale the Whirlwind,Monster
Blizzard Falcon,Monster
Space Insulator,Monster
Elemental HERO Clayman,Monster
Steam Synchron,Monster
Thestalos the Firestorm Monarch,Monster
Lord of the Red,Monster
Meteorain,Trap
Kamionwizard,Monster
Tour Guide From the Underworld,Monster
Fallen Angel of Roses,Monster
Aquarium Lighting,Spell
Divine Dragon Apocralyph,Monster
Galaxy Cyclone,Spell
Graydle Split,Trap
Skilled White Magician,Monster
Firewall Dragon,Monster
Dread Dragon,Monster
Sea Archiver,Monster
Ally of Justice Thousand Arms,Monster
Oyster Meister,Monster
^Reign-Beaux, Overlord of Dark World^,Monster
Battlin' Boxer Shadow,Monster
Elemental HERO Avian,Monster
Pyramid Energy,Spell
Geargianchor,Monster
Blackwing - Fane the Steel Chain,Monster
KA-2 Des Scissors,Monster
Mystic Clown,Monster
Super Quantal Mech Beast Aeroboros,Monster
Kunai with Chain,Trap
Mekk-Knight Purple Nightfall,Monster
Night Assailant,Monster
Deskbot 008,Monster
Pitch-Dark Dragon,Monster
Photon Papilloperative,Monster
Swordstalker,Monster
Meklord Emperor Granel,Monster
El Shaddoll Fusion,Spell
Crazy Fish,Monster
Number 64: Ronin Raccoon Sandayu,Monster
Morphtronic Bind,Trap
The Wandering Doomed,Monster
Second Goblin,Monster
Chaos Hunter,Monster
Little Chimera,Monster
Black Return,Trap
Amores of Prophecy,Monster
Vylon Stigma,Monster
Holding Arms,Monster
Number 62: Galaxy-Eyes Prime Photon Dragon,Monster
Beautiful Beast Trainer,Monster
Dark Magician of Chaos,Monster
Dark Magic Curtain,Spell
Lucky Trinket,Monster
Raidraptor - Singing Lanius,Monster
Spider Web,Spell
Supreme King Dragon Clear Wing,Monster
Boot-Up Soldier - Dread Dynamo,Monster
Lightning Blade,Spell
Terminal World NEXT,Spell
Ultimate Fire Formation - Seito,Trap
Radiant Jeral,Monster
^Valhalla, Hall of the Fallen^,Spell
Hushed Psychic Cleric,Monster
Dogu,Monster
Gem-Knight Seraphinite,Monster
Elemental HERO Neos,Monster
Fenrir,Monster
Outer Entity Azzathoth,Monster
Mermail Abyssbalaen,Monster
Megalosmasher X,Monster
Inverse Universe,Trap
Deep-Space Cruiser IX,Monster
Troymare Gryphon,Monster
A-to-Z-Dragon Buster Cannon,Monster
Gishki Natalia,Monster
Dragunity Tribus,Monster
Kabuki Dragon,Monster
Stim-Pack,Spell
Raigeki Break,Trap
Sylvan Cherubsprout,Monster
Light of Judgment,Trap
The Weather Painter Cloud,Monster
Evolsaur Terias,Monster
^Raviel, Lord of Phantasms^,Monster
Heavy Freight Train Derricrane,Monster
Shaddoll Falco,Monster
Omega Summon,Trap
Bujintei Tsukuyomi,Monster
Dragon Core Hexer,Monster
Trick Box,Trap
Zombie World,Spell
Recardination,Spell
Unibird,Monster
White Aura Whale,Monster
Torike,Monster
Dance Princess of the Nekroz,Monster
Sabatiel - The Philosopher's Stone,Spell
Cat Shark,Monster
Giant Kozaky,Monster
Swarm of Scarabs,Monster
Elemental HERO Rampart Blaster,Monster
Megazowler,Monster
Gagagaguard,Trap
Beast Machine King Barbaros Ür,Monster
Mysterious Triangle,Spell
Evil Dragon Ananta,Monster
Arsenal Summoner,Monster
Gladiator Beast Essedarii,Monster
Photon Stream of Destruction,Spell
Dust Tornado,Trap
Artifact Durendal,Monster
No Entry!!,Trap
Inzektor Giga-Weevil,Monster
White Dragon Ritual,Spell
Cold Wave,Spell
Behegon,Monster
Flame Viper,Monster
D/D/D Doom King Armageddon,Monster
Fusion Conscription,Spell
The Book of the Law,Spell
Airknight Parshath,Monster
Naturia Exterio,Monster
Synchro Soldier,Monster
Witch's Apprentice,Monster
Dragon Ice,Monster
Toy Knight,Monster
Nekroz of Clausolas,Monster
Imperial Iron Wall,Trap
Gagagabolt,Spell
Lightpulsar Dragon,Monster
Big Whale,Monster
Small Piece Golem,Monster
^Minerva, Lightsworn Maiden^,Monster
Armored Cybern,Monster
Tyrant's Tummyache,Trap
Blackwing - Nothung the Starlight,Monster
Chorus of Sanctuary,Spell
Jinzo - Jector,Monster
Bug Matrix,Spell
Evilswarm Azzathoth,Monster
Killer Needle,Monster
Void Vanishment,Spell
Self-Destruct Button,Trap
Constellar Antares,Monster
Evoltile Elginero,Monster
Harmonic Waves,Spell
Scanner,Monster
Twinheaded Beast,Monster
Dharc the Dark Charmer,Monster
Tyler the Great Warrior,Monster
Friller Rabca,Monster
Superheavy Samurai Ninja Sarutobi,Monster
Eva,Monster
Number C101: Silent Honor DARK,Monster
X-Saber Souza,Monster
Infernity Dwarf,Monster
Gravekeeper's Spy,Monster
Ra's Disciple,Monster
A Major Upset,Trap
D/D/D Rebel King Leonidas,Monster
Relinquished Fusion,Spell
Mirage of Nightmare,Spell
Baby Raccoon Ponpoko,Monster
Genomix Fighter,Monster
Ancient Gear Gadjiltron Chimera,Monster
Final Destiny,Spell
Performapal Trumpanda,Monster
Odd-Eyes Lancer Dragon,Monster
Judgment of the Desert,Trap
Masked HERO Dark Law,Monster
Ignoble Knight of Black Laundsallyn,Monster
Predaplast,Spell
Harpie Lady Sisters,Monster
Needle Sunfish,Monster
The Weather Painter Aurora,Monster
Jurrac Protops,Monster
Dark Lucius LV8,Monster
Magi Magi ☆ Magician Gal,Monster
Meklord Fortress,Spell
Magical Meltdown,Spell
Skull-Mark Ladybug,Monster
Delg the Dark Monarch,Monster
Hammer Bounzer,Monster
Genex Ally Bellflame,Monster
Moon Dance Ritual,Trap
Contact with Gusto,Spell
Creeping Darkness,Spell
Chronograph Sorcerer,Monster
Adhesive Explosive,Monster
Elemental HERO Sparkman,Monster
Cloudian - Acid Cloud,Monster
Gryphon Wing,Trap
Yormungarde,Monster
Remove Trap,Spell
Night Express Knight,Monster
Saber Vault,Spell
Saber Slash,Spell
Sacred Arch-Airknight Parshath,Monster
Magical Abductor,Monster
Meliae of the Trees,Monster
Adhesion Trap Hole,Trap
Mad Lobster,Monster
Bonding - DHO,Trap
Jack Wyvern,Monster
Assault Beast,Monster
Onomatopaira,Spell
Gambler of Legend,Monster
Noisy Gnat,Monster
Cactus Fighter,Monster
Tachyon Transmigration,Trap
Soul Release,Spell
Tragedy,Trap
Lyrilusc - Assembled Nightingale,Monster
Tuning,Spell
Naturia Stag Beetle,Monster
"A" Cell Breeding Device,Spell
Ally of Justice Light Gazer,Monster
D/D/D Dragon King Pendragon,Monster
High Tide Gyojin,Monster
Judge Man,Monster
Intercept Wave,Spell
Subterror Nemesis Archer,Monster
Genex Ally Crusher,Monster
Number 44: Sky Pegasus,Monster
Overwhelm,Trap
^Pacifis, the Phantasm City^,Spell
Vampire Vamp,Monster
Guiding Ariadne,Monster
Infestation Terminus,Trap
Reptilianne Naga,Monster
Blackwing - Elphin the Raven,Monster
Cyber Saurus,Monster
Herald of Orange Light,Monster
Chain Summoning,Spell
Number 18: Heraldry Patriarch,Monster
Full House,Trap
Greatfly,Monster
Machine Conversion Factory,Spell
Inferno Tempest,Spell
Discord,Trap
Armor Ninjitsu Art of Freezing,Trap
Soundproofed,Spell
F.A. Downforce,Spell
Gimmick Puppet Magnet Doll,Monster
Artifact Sanctum,Trap
Marshmallon,Monster
Thought Ruler Archfiend,Monster
Triple Burst Dragon,Monster
Legendary Flame Lord,Monster
Lycanthrope,Monster
Union Scramble,Trap
Abyssal Designator,Spell
Mountain Warrior,Monster
Twin Twisters,Spell
Number 79: Battlin' Boxer Nova Kaiser,Monster
Pot of Benevolence,Spell
Frightfur Chimera,Monster
Mimimic,Monster
Boneheimer,Monster
Fraud Freeze,Trap
Predaplant Flytrap,Monster
Kozmoll Wickedwitch,Monster
Runaway Karakuri,Spell
Koa'ki Meiru Sea Panther,Monster
Phantom Knights' Spear,Spell
Sweet Corn,Monster
The World Tree,Spell
Cubic Karma,Spell
Satellarknight Unukalhai,Monster
Soul Reversal,Spell
Edea the Heavenly Squire,Monster
^Hey, Trunade!^,Spell
Wonder Xyz,Trap
Bujingi Crane,Monster
Emperor of the Land and Sea,Monster
Masked Beast Des Gardius,Monster
King of the Swamp,Monster
Gravedigger Ghoul,Spell
Appropriate,Trap
Skill Successor,Trap
Goyo King,Monster
^Tierra, Source of Destruction^,Monster
Madolche Puddingcess Chocolat-a-la-Mode,Monster
Samurai Skull,Monster
Token Feastevil,Trap
Legacy of the Duelist,Spell
Quarantine,Spell
Naturia Cliff,Monster
Power Pickaxe,Spell
Rainbow Dark Dragon,Monster
^Defender, the Magical Knight^,Monster
Cyberse Converter,Monster
Thunder Unicorn,Monster
Number 33: Chronomaly Machu Mech,Monster
That Grass Looks Greener,Spell
Fusion Gate,Spell
Dragunity Corsesca,Monster
High Tide on Fire Island,Trap
Quaking Mirror Force,Trap
Catapult Warrior,Monster
Jinzo #7,Monster
Magical Musket Mastermind Zakiel,Monster
Super Rush Headlong,Spell
Spring of Rebirth,Spell
Nekroz of Unicore,Monster
Dark Magic Veil,Spell
Flame Armor Ninja,Monster
Vampire Lady,Monster
Sinister Seeds,Trap
Mystic Piper,Monster
Evilswarm Golem,Monster
Lucky Cloud,Spell
Genetic Woman,Monster
Ape Magician,Monster
Genex Ally Volcannon,Monster
^Graff, Malebranche of the Burning Abyss^,Monster
Twilight Ninja Shingetsu,Monster
SPYRAL MISSION - Recapture,Trap
Tentacle Plant,Monster
Dark Desertapir,Monster
Tornado Bird,Monster
Graverobber's Retribution,Trap
Dreadscythe Harvester,Monster
Three Strikes Barrier,Trap
Fabled Gallabas,Monster
Frightfur March,Trap
R-Genex Crusher,Monster
Dice Try!,Trap
Infernal Incinerator,Monster
First-Aid Squad,Trap
Magical Musketeer Doc,Monster
Dragunity Phalanx,Monster
Orca Mega-Fortress of Darkness,Monster
Stoic of Prophecy,Monster
Fog Control,Spell
Rank-Up-Magic Cipher Ascension,Spell
Gem-Knight Lazuli,Monster
Electric Snake,Monster
Dimensional Alchemist,Monster
D/D Cerberus,Monster
ESP Amplifier,Spell
Abyss Script - Abysstainment,Spell
Quillbolt Hedgehog,Monster
Doki Doki,Monster
Junk Gardna,Monster
Guldfaxe of the Nordic Beasts,Monster
Fungi of the Musk,Monster
Troymare Unicorn,Monster
Legendary Atlantean Tridon,Monster
Battlecruiser Dianthus,Monster
Toon Summoned Skull,Monster
Number 39: Utopia,Monster
Gonogo,Monster
Larvas,Monster
